Id;Varaint;Name;zasticena;vrsta;jestivost;slika
1;;igličarka, koraljna igličarka;1;hericum coralloides;8;/slike/gljive/ Hericiaceae_hericum coralloides_ .jpg
2;;;;biennis;3;/slike/gljive/Abortiporus_biennis.jpg
3;Fr;Golema pečurka;;augustus;7;/slike/gljive/Agaricus _augustus _Fr.jpg
4;;;;benesii;7;/slike/gljive/Agaricus_benesii.jpg
5;;;;bernardii;4;/slike/gljive/Agaricus_bernardii.jpg
6;(Quelet) Saccardo;Dvoprstenasta pečurka, gradski šampinjon, gradska pečurka, uskočnica;;bitorquis;7;/slike/gljive/Agaricus _bitorquis _Quelet Saccardo.jpg
7;;Busenasta rudnjača;;bohusii;7;/slike/gljive/Agaricus_bohusii.jpg
8;L:Fr;Livadna pečurka, rudnjača, pečurka, pečura, pečurica, pečurak, poljski šampinjon;;campestris;7;/slike/gljive/Agaricus_campestris_LFr.jpg
9;(Moell. Et Schff.) Pilat;Kračun, grkalj, velika pečurka, pokrovača;;macrosporus;7;/slike/gljive/Agaricus _macrosporus _Moell. Et Schff. Pilat.jpg
10;Sch:Fr;Šumarica, šumska pečurka;;silvaticus;6;/slike/gljive/Agaricus _silvaticus _SchFr.jpg
11;(Vitt) Peck;Šumska pečurka, anisova pečurka, anis šampinjon;;silvicola;6;/slike/gljive/Agaricus _silvicola _Vitt Peck.jpg
12;Genevier;Otrovna pečurka, karbolova pečurka, žuto pjegava pečurka;;xanthoderma;2;/slike/gljive/Agaricus _xanthoderma _Genevier.jpg
13;(Brig.) Singer;Jablanovača, topolovača, topolovka;;aegerita;7;/slike/gljive/Agrocybe _aegerita _Brig. Singer.jpg
14;(Pers:Fr) Fayod;Rana livadarka, rana čehavka;;praecox;5;/slike/gljive/Agrocybe _praecox _PersFr Fayod.jpg
15;;;;ovinus;5;/slike/gljive/Albatrellus _ovinus.jpg
16;(Pers.: Fr.) Pouzar;Maglen, kozja noga, kozonoga rupičarka;1;pes-caprae;7;/slike/gljive/Albatrellus _pes-caprae _Pers. Fr. Pouzar.jpg
17;(Pers:fr) Fuckel;Narančasto-crvena zdjeličarka;;aurantia;5;/slike/gljive/Aleuria _aurantia _Persfr Fuckel.jpg
18;(Scop:Fr) Pers;Blagva, carevka, gospa, karžel, žerdana, blagar, kneginja, knežica, škripac, đordani;1;caesarea;7;/slike/gljive/Amanita _caesarea _ScopFr Pers.jpg
19;(Berk & Br.) Boudier ex Bas;Tigrasta preslica, pozlaćena ovojnjača, šupljikava povojnjača;;ceciliae;6;/slike/gljive/Amanita _ceciliae _Berk  Br. Boudier ex Bas.jpg
20;(Sch:Fr) SF Gray;Žućkasta pupavka, limunasta pupavka, citronasta pupavka;;citrina;2;/slike/gljive/Amanita _citrina _SchFr SF Gray.jpg
21;;;;crocea;7;/slike/gljive/Amanita_crocea.jpg
22;Quel.;Elijeva muhara;;eliae;2;/slike/gljive/Amanita_eliae_Quel..jpg
23;(Sch:Fr) Fr;Kestenjasta preslica, smeđa preslica, golenka;;fulva;4;/slike/gljive/Amanita _fulva _SchFr Fr.jpg
24;(Paulet) Bertillon;Svijetložuta muhara;;gemmata;3;/slike/gljive/Amanita _gemmata _Paulet Bertillon.jpg
25;(L:Fr) Hooker;Muhara,crvena muhara, crvenjača muhor, muhomorka, zmijska gljiva, bjesnjača, omarka;;muscaria;2;/slike/gljive/Amanita_muscaria_LFr Hooker.jpg
26;(Bull:Fr) Link;Jajasta muhara, bijela blagva, čaburka;;ovoidea;5;/slike/gljive/Amanita _ovoidea _BullFr Link.jpg
27;(DeCand:Fr) Krombholz;Panterova muhara, panterka, tigrasta muhara, pjegava muhara;;pantherina;1;/slike/gljive/Amanita _pantherina _DeCandFr Krombholz.jpg
28;(Vaill:Fr) Link;Zelena pupavka, otrovna pečurka, zelena muhara, gomoljevka;;phalloides;1;/slike/gljive/Amanita _phalloides _VaillFr Link.jpg
29;(Pers:Fr) SF Gray;Biserka, bisernica, crvenkasta muhara, siva muhara;;rubescens;4;/slike/gljive/Amanita _rubescens _PersFr SF Gray.jpg
30;(Fr) Kummer;Prava tigrica, siva muhara, krastavka;;spissa;6;/slike/gljive/Amanita _spissa _Fr Kummer.jpg
31;(Paulet)Bertillon;Usamljena muhara, ljuskava muhara;;strobiliformis;6;/slike/gljive/Amanita _strobiliformis _PauletBertillon.jpg
32;(Bull:Fr) Vittadini;Siva preslica, siva ovojnjača, tmurna preslica, obična preslica;;vaginata;4;/slike/gljive/Amanita _vaginata _BullFr Vittadini.jpg
33;var. alba Gillet;Bijela preslica, prava ovojnjača,lupinar;;vaginata;6;/slike/gljive/Amanita_vaginata_alba.jpg
34;(Vahl:Fr) Kummer;Puza, medenjača, mraznica, puzica, puzva, puzavci, migači, kljukači, grmečki;;mellea;4;/slike/gljive/Armillaria _mellea _VahlFr Kummer.jpg
35;;smeđa puza;;obscura;4;/slike/gljive/Armillaria_obscura.jpg
36;(Scop) Emeland;Grmača, grmica, grmačica, grmovača, grmoščica, penjušica, gola puza;;tabescens;6;/slike/gljive/Armillaria _tabescens _Scop Emeland.jpg
37;;;;spathulata;3;/slike/gljive/Arrhenia_spathulata.jpg
38;(Pers:Fr) Julich;Bijela grmulja, zdjeličasta capica;;pyxidatus;3;/slike/gljive/Artomyces  _pyxidatus_PersFr Julich.jpg
39;(Pers:Pers) Morgan;Upojna zvjezdača, zvjezdarka, vlagomjerna zvjezdača, vodomjerna zvjezdača;;hygrometricus;3;/slike/gljive/Astraeus _hygrometricus _PersPers Morgan.jpg
40;;-;;gentilis;3;/slike/gljive/Aureoboletus_gentilis.jpg
41;(Bull:Fr.) Wettstein;Judino uho, bazgova uška;;auricula-judae;5;/slike/gljive/Auricularia _auricula-judae _BullFr. Wettstein.jpg
42;;;;mesenterica;3;/slike/gljive/Auricularia_mesenterica.jpg
43;;;;vulgare;7;/slike/gljive/Auriscalpium_vulgare.jpg
44;(Tode) De Not.;Šumski dud;;moriformis;3;/slike/gljive/Bertia _moriformis _Tode De Not..jpg
45;;;;adusta;3;/slike/gljive/Bjerkandera_adusta.jpg
46;(Pers:Fr) Fr;Zlatni smetištar;;vitellinus;3;/slike/gljive/Bolbitius _vitellinus _PersFr Fr.jpg
47;Bull:Fr;Hajdinski vrganj, crni vrganj, brončani vrganj, ljetni vrganj, hajdovec;;aereus;7;/slike/gljive/Boletus _aereus _BullFr.jpg
48;(Paulet) Fr;Proljetni vrganj, mrežasti vrganj;;aestivalis;7;/slike/gljive/Boletus_aestivalis_Paulet Fr.jpg
49;Schaeff.;Šiljatonogi vrganj, žuti vrganj, smeđa kraljevka;;appendiculatus;7;/slike/gljive/Boletus _appendiculatus _Schaeff..jpg
50;Pers:Fr;Lijeponogi vrganj, kravlja balega;;calopus;3;/slike/gljive/Boletus _calopus _PersFr.jpg
51;Bull:Fr;Jesenski vrganj, pravi vrganj, crnogorični vrganj, orvanj, gobanj, varganj, hrženjak, sirnjaja;;edulis;7;/slike/gljive/Boletus _edulis _BullFr.jpg
52;Pers.;Zelenjača;;erythropus;4;/slike/gljive/Boletus _erythropus _Pers..jpg
53;Velenovsky;Fechtnerov vrganj, blijeda kraljevka;1;fechtneri;7;/slike/gljive/Boletus _fechtneri _Velenovsky.jpg
54;Vittad.;Mirisavi vrganj;1;fragrans;6;/slike/gljive/Boletus _fragrans _Vittad..jpg
