id;Genus;Species;Variant;Name;protected;edibilityId
1;Hericiaceae;hericum coralloides;;igličarka, koraljna igličarka;TRUE;8
2;Abortiporus;biennis;;;FALSE;3
3;Agaricus;augustus;Fr;Golema pečurka;FALSE;7
4;Agaricus;benesii;;;FALSE;7
5;Agaricus;bernardii;;;FALSE;4
6;Agaricus;bitorquis;(Quelet) Saccardo;Dvoprstenasta pečurka, gradski šampinjon, gradska pečurka, uskočnica;FALSE;7
7;Agaricus;bohusii;;Busenasta rudnjača;FALSE;7
8;Agaricus;campestris;L:Fr;Livadna pečurka, rudnjača, pečurka, pečura, pečurica, pečurak, poljski šampinjon;FALSE;7
9;Agaricus;macrosporus;(Moell. Et Schff.) Pilat;Kračun, grkalj, velika pečurka, pokrovača;FALSE;7
10;Agaricus;silvaticus;Sch:Fr;Šumarica, šumska pečurka;FALSE;6
11;Agaricus;silvicola;(Vitt) Peck;Šumska pečurka, anisova pečurka, anis šampinjon;FALSE;6
12;Agaricus;xanthoderma;Genevier;1 pečurka, karbolova pečurka, žuto pjegava pečurka;FALSE;2
13;Agrocybe;aegerita;(Brig.) Singer;Jablanovača, topolovača, topolovka;FALSE;7
14;Agrocybe;praecox;(Pers:Fr) Fayod;Rana livadarka, rana čehavka;FALSE;5
15;Albatrellus;ovinus;;;FALSE;5
16;Albatrellus;pes-caprae;(Pers.: Fr.) Pouzar;Maglen, kozja noga, kozonoga rupičarka;TRUE;7
17;Aleuria;aurantia;(Pers:fr) Fuckel;Narančasto-crvena zdjeličarka;FALSE;5
18;Amanita;caesarea;(Scop:Fr) Pers;Blagva, carevka, gospa, karžel, žerdana, blagar, kneginja, knežica, škripac, đordani;TRUE;7
19;Amanita;ceciliae;(Berk & Br.) Boudier ex Bas;Tigrasta preslica, pozlaćena ovojnjača, šupljikava povojnjača;FALSE;6
20;Amanita;citrina;(Sch:Fr) SF Gray;Žućkasta pupavka, limunasta pupavka, citronasta pupavka;FALSE;2
21;Amanita;crocea;;;FALSE;7
22;Amanita;eliae;Quel.;Elijeva muhara;FALSE;2
23;Amanita;fulva;(Sch:Fr) Fr;Kestenjasta preslica, smeđa preslica, golenka;FALSE;4
24;Amanita;gemmata;(Paulet) Bertillon;Svijetložuta muhara;FALSE;3
25;Amanita;muscaria;(L:Fr) Hooker;Muhara,crvena muhara, crvenjača muhor, muhomorka, zmijska gljiva, bjesnjača, omarka;FALSE;2
26;Amanita;ovoidea;(Bull:Fr) Link;Jajasta muhara, bijela blagva, čaburka;FALSE;5
27;Amanita;pantherina;(DeCand:Fr) Krombholz;Panterova muhara, panterka, tigrasta muhara, pjegava muhara;FALSE;1
28;Amanita;phalloides;(Vaill:Fr) Link;Zelena pupavka, 1 pečurka, zelena muhara, gomoljevka;FALSE;1
29;Amanita;rubescens;(Pers:Fr) SF Gray;Biserka, bisernica, crvenkasta muhara, siva muhara;FALSE;4
30;Amanita;spissa;(Fr) Kummer;Prava tigrica, siva muhara, krastavka;FALSE;6
31;Amanita;strobiliformis;(Paulet)Bertillon;Usamljena muhara, ljuskava muhara;FALSE;6
32;Amanita;vaginata;(Bull:Fr) Vittadini;Siva preslica, siva ovojnjača, tmurna preslica, obična preslica;FALSE;4
33;Amanita;vaginata;var. alba Gillet;Bijela preslica, prava ovojnjača,lupinar;FALSE;6
34;Armillaria;mellea;(Vahl:Fr) Kummer;Puza, medenjača, mraznica, puzica, puzva, puzavci, migači, kljukači, grmečki;FALSE;4
35;Armillaria;obscura;;smeđa puza;FALSE;4
36;Armillaria;tabescens;(Scop) Emeland;Grmača, grmica, grmačica, grmovača, grmoščica, penjušica, gola puza;FALSE;6
37;Arrhenia;spathulata;;;FALSE;3
38;Artomyces;pyxidatus;(Pers:Fr) Julich;Bijela grmulja, zdjeličasta capica;FALSE;3
39;Astraeus;hygrometricus;(Pers:Pers) Morgan;Upojna zvjezdača, zvjezdarka, vlagomjerna zvjezdača, vodomjerna zvjezdača;FALSE;3
40;Aureoboletus;gentilis;;-;FALSE;3
41;Auricularia;auricula-judae;(Bull:Fr.) Wettstein;Judino uho, bazgova uška;FALSE;5
42;Auricularia;mesenterica;;;FALSE;3
43;Auriscalpium;vulgare;;;FALSE;7
44;Bertia;moriformis;(Tode) De Not.;Šumski dud;FALSE;3
45;Bjerkandera;adusta;;;FALSE;3
46;Bolbitius;vitellinus;(Pers:Fr) Fr;Zlatni smetištar;FALSE;3
47;Boletus;aereus;Bull:Fr;Hajdinski vrganj, crni vrganj, brončani vrganj, ljetni vrganj, hajdovec;FALSE;7
48;Boletus;aestivalis;(Paulet) Fr;Proljetni vrganj, mrežasti vrganj;FALSE;7
49;Boletus;appendiculatus;Schaeff.;Šiljatonogi vrganj, žuti vrganj, smeđa kraljevka;FALSE;7
50;Boletus;calopus;Pers:Fr;Lijeponogi vrganj, kravlja balega;FALSE;3
51;Boletus;edulis;Bull:Fr;Jesenski vrganj, pravi vrganj, crnogorični vrganj, orvanj, gobanj, varganj, hrženjak, sirnjaja;FALSE;7
52;Boletus;erythropus;Pers.;Zelenjača;FALSE;4
53;Boletus;fechtneri;Velenovsky;Fechtnerov vrganj, blijeda kraljevka;TRUE;7
54;Boletus;fragrans;Vittad.;Mirisavi vrganj;TRUE;6
55;Boletus;impolitus;;;TRUE;6
56;Boletus;legaliae;(Pilat)ex Pilat & Dermek;Lažna ludara, vragoljasti vrganj;FALSE;2
57;Boletus;luridus;Sch:Fr;Kovara, mrežastonogi vrganj, vrganjica, ludoglavka;FALSE;4
58;Boletus;luteocupreus;Bertea & Estades;-;FALSE;3
59;Boletus;pinophilus;Pilat & Dermek;Borov vrganj, crveni vrganj;FALSE;7
60;Boletus;pseudoregius;(Hubert) ex Estades;Lažna kraljevka, ljupki vrganj;FALSE;7
61;Boletus;pulverulentus;Opatowski;Tintar, posuti vrganj, osuti vrganj;FALSE;5
62;Boletus;queletii;Schultzer;Glatkonoška, Queletov vrganj, slavonski vrganj,;FALSE;4
63;Boletus;radicans;Pers:Fr;Gorki vrganj, bijeli gorčak;FALSE;3
64;Boletus;regius;Krombholz;Kraljevka, kraljevski vrganj;TRUE;7
65;Boletus;rhodoxanthus;(Krombholz) Kallenbach;Purpurnožuti vrganj, žuta ruževača;FALSE;4
66;Boletus;rubrosanguineus;Walty ex (Cheype);-;FALSE;3
67;Boletus;satanas;Lenz;Ludara, bljutavka, luda gljiva, vražji vrganj, svinjača;FALSE;2
68;Boletus;Spretus;;PRIJEZIRNI VRGANJ (Boletus Aemilii ss. Alessio);FALSE;7
69;Boletus;subappendiculatus;;;FALSE;7
70;Boletus;torosus;Fr. & Hok;Teški vrganj;TRUE;4
71;Bovista;aestivalis;;;FALSE;3
72;Calloria;fusarioides;(Berk.) Fr.;-;FALSE;3
73;Calocera;furcata;;;FALSE;3
74;Calocera;viscosa;(Pers:Fr) Fr;Žuta rožnatica, viskozna capica, viskozna rožnatica;FALSE;3
75;Calocybe;constricta;;;TRUE;3
76;Calocybe;gambosa;(Fr:Fr) Singer ex Donk;Jurjevka, đurđevača, đurđevka, ranka, potrnka, majska kolobarnica, svibanjska gljiva;FALSE;7
77;Calocybe;ionides;;;TRUE;3
78;Calvatia;excipuliformis;(Scop:Pers) Perdeck;Batinasta puhara, vrećasta puhara, visoka ćelavica;FALSE;6
79;Calvatia;utriformis;;Trbušasta puhara,livadska puhara,puša;FALSE;6
80;Cantharellus;amethysteus;;;FALSE;7
81;Cantharellus;cibarius;Fr:Fr;Lisičica,lisičarka, bjelkasta lisičica, lisica, pršutnica;FALSE;7
82;Cantharellus;cinereus;;Pepeljasta lisičica;FALSE;6
83;Cantharellus;lutescens;Pers. ex Fr.;Zlatonoga trubača, žuta trubača;FALSE;7
84;Cantharellus;melanoxeros;;Nagaravljena lisičica;FALSE;7
85;Cantharellus;tubaeformis;Fr:Fr;Ljevkasta lisičica, peharasta lisičica;FALSE;6
86;Catathelasma;imperiale;;;TRUE;5
87;Chalciporus;piperatus;(Bull:fr) Bataille;Papreni vrganj, paprenjak, papreni sluzavac;FALSE;4
88;Chamaemyces;fracidus;;;FALSE;3
89;Chlorociboria;aeruginascens;;;FALSE;3
90;Chroogomphus;rutilus;(Sch:Fr) OK Miller;Borov čavlić, bakrenasti prljavac, borov slinavac, borov polžar;FALSE;5
91;Clathrus;archeri;(Berk.) Dring;Velika polipovka;FALSE;3
92;Clavaria;acuta;;;FALSE;3
93;Clavariadelphus;pistillaris;(L:Fr) Donk;Veliki buzdovan, velika kijačarka, velika toljaga;FALSE;4
94;Clavulina;coralloides;;;FALSE;3
95;Clitocybe;alexandri;(Gillet) Gillet;Aleksandrova grlašica;FALSE;5
96;Clitocybe;collina;;;TRUE;3
97;Clitocybe;geotropa;(Bull:Fr) Quelet;Martinčica, martinovka, fratarica, pršutica, veli žmuj, velika livka, pozna livka;FALSE;6
98;Clitocybe;gibba;(Pers:Fr) Kummer;Mala martinčica, smeđasta grlašica, grbičasta grlašica;FALSE;5
99;Clitocybe;inversa;(Scop) Patouillard;Izvrnuta grlašica, žuta uleknjača;FALSE;4
100;Clitocybe;nebularis;(Batsch:Fr) Kummer;Maglenka, snježnica, maglena grlašica;FALSE;4
101;Clitocybe;odora;(Bull:Fr) Kummer;Mirisna grlašica, mirisna uleknjača, anisovka, anisova grlašica, zelena grlašica;FALSE;5
102;Clitocybe;phyllophila;(Pers:Fr) Kummer;Vapnenasta grlašica, bijela otrovnica, lisnata grlašica;FALSE;1
103;Clitocybe;rivulosa;;;FALSE;1
104;Clitopilus;prunulus;(Scop:fr) Quelet;Brašnjača, svilena lisičica, mlinarica, krhka brašnjača, majevka, mokarica, slivarica;FALSE;7
105;Collybia;butyracea;(Bull:Fr) Kummer;Maslačna plosnatica;FALSE;5
106;Collybia;cirrhata;;;FALSE;3
107;Collybia;dryophila;(Bull:Fr) Kummer;Vitka plosnatica, vitka korenovka, šumska plosnatica;FALSE;5
108;Collybia;fusipes;(Bull:Fr) Quelet;Hrastova plosnatica, hrastovača;FALSE;4
109;Collybia;maculata;(Alb &Schw:Fr) Quelet;Pjegava plosnatica;FALSE;3
110;Collybia;peronata;(Bolt:Fr) Kummer;Ljuta plosnatica, ljuta lisnatica, runjava lisnatica;FALSE;3
111;Comatricha;nigra;;;FALSE;3
112;Coprinus;atramentarius;(Bull:Fr) Fr;Jajasta gnojištarka, naborana gnojištarka, obična gnojištarka, prava gnojištarka, prava tintnica;FALSE;4
113;Coprinus;comatus;(Mull:Fr) Pers;Velika gnojištarka, ljuskava gnojištarka;FALSE;7
114;Coprinus;disseminatus;(Pers:Fr) SF Gray;Rasijana gnojištarka;FALSE;3
115;Coprinus;gonophyllus;;;FALSE;3
116;Coprinus;micaceus;(Bull:Fr) Fr;Blistava gnojištarka, tinjčeva gnojištarka;FALSE;5
117;Coprinus;picaceus;(Bull:Fr) SF Gray;Šarena gnojištarka, šarena tintnica;FALSE;3
118;Cordyceps;capitata;;;FALSE;3
119;Cordyceps;militaris;(L:Fr) Link;Stršeća gusjenica, narančasti ubojica gusjenica, narančasta batinica;FALSE;8
