speciesId;name;genusId;
0;hericum coralloides;0;
1;biennis;1;
2;augustus;2;
3;benesii;2;
4;bernardii;2;
5;bitorquis;2;
6;bohusii;2;
7;campestris;2;
8;macrosporus;2;
9;silvaticus;2;
10;silvicola;2;
11;xanthoderma;2;
12;aegerita;3;
13;praecox;3;
14;ovinus;4;
15;pes-caprae;4;
16;aurantia;5;
17;caesarea;6;
18;ceciliae;6;
19;citrina;6;
20;crocea;6;
21;eliae;6;
22;fulva;6;
23;gemmata;6;
24;muscaria;6;
25;ovoidea;6;
26;pantherina;6;
27;phalloides;6;
28;rubescens;6;
29;spissa;6;
30;strobiliformis;6;
31;vaginata;6;
32;mellea;7;
33;obscura;7;
34;tabescens;7;
35;spathulata;8;
36;pyxidatus;9;
37;hygrometricus;10;
38;gentilis;11;
39;auricula-judae;12;
40;mesenterica;12;
41;vulgare;13;
42;moriformis;14;
43;adusta;15;
44;vitellinus;16;
45;aereus;17;
46;aestivalis;17;
47;appendiculatus;17;
48;calopus;17;
49;edulis;17;
50;erythropus;17;
51;fechtneri;17;
52;fragrans;17;
53;impolitus;17;
54;legaliae;17;
55;luridus;17;
56;luteocupreus;17;
57;pinophilus;17;
58;pseudoregius;17;
59;pulverulentus;17;
60;queletii;17;
61;radicans;17;
62;regius;17;
63;rhodoxanthus;17;
64;rubrosanguineus;17;
65;satanas;17;
66;Spretus;17;
67;subappendiculatus;17;
68;torosus;17;
69;aestivalis;18;
70;fusarioides;19;
71;furcata;20;
72;viscosa;20;
73;constricta;21;
74;gambosa;21;
75;ionides;21;
76;excipuliformis;22;
77;utriformis;22;
78;amethysteus;23;
79;cibarius;23;
80;cinereus;23;
81;lutescens;23;
82;melanoxeros;23;
83;tubaeformis;23;
84;imperiale;24;
85;piperatus;25;
86;fracidus;26;
87;aeruginascens;27;
88;rutilus;28;
89;archeri;29;
90;acuta;30;
91;pistillaris;31;
92;coralloides;32;
93;alexandri;33;
94;collina;33;
95;geotropa;33;
96;gibba;33;
97;inversa;33;
98;nebularis;33;
99;odora;33;
100;phyllophila;33;
101;rivulosa;33;
102;prunulus;34;
103;butyracea;35;
104;cirrhata;35;
105;dryophila;35;
106;fusipes;35;
107;maculata;35;
108;peronata;35;
109;nigra;36;
110;atramentarius;37;
111;comatus;37;
112;disseminatus;37;
113;gonophyllus;37;
114;micaceus;37;
115;picaceus;37;
116;capitata;38;
117;militaris;38;
118;bolaris;39;
119;elatior;39;
120;humicola;39;
121;orellanus;39;
122;praestans;39;
123;salor;39;
124;semisanguineus;39;
125;trivialis;39;
126;turmalis;39;
127;variecolor;39;
128;violaceus;39;
129;cornucopioides;40;
130;sp.;41;
131;scabella;42;
132;striatus;43;
133;anomala;44;
134;amianthinum;45;
135;chrysospermus;46;
136;quercina;47;
137;gigas;48;
138;venosa;49;
139;muricatus;50;
140;fascicularis;51;
141;furfuracea;51;
142;clypeatum;52;
143;hirtipes;52;
144;icterinum;52;
145;sepium;52;
146;sinuatum;52;
147;glandulosa;53;
148;recisa;53;
149;carbonaria;54;
150;hepatica;55;
151;velutipes;56;
152;fomentarius;57;
153;pinicola;58;
154;septica;59;
155;lucidum;60;
156;fornicatum;61;
157;quadrifidum;61;
158;triplex;61;
159;sumneriana;62;
160;carbonaria;63;
161;glutinosus;64;
162;roseus;64;
163;frondosa;65;
164;umbellata;65;
165;helvelloides;66;
166;spectabilis;67;
167;esculenta;68;
168;infula;68;
169;castaneus;69;
170;sinapizans;70;
171;acetabulum;71;
172;crispa;71;
173;elastica;71;
174;leucomelaena;71;
175;spadicea;71;
176;lactea;72;
177;cirrhatum;73;
178;hemisphaerica;74;
179;compactum;75;
180;peckii;75;
181;albidum;76;
182;repandum;76;
183;calyptriformis;77;
184;conica;77;
185;pratensis;77;
186;punicea(Fr.:Fr.)Kummer;77;
187;virginea;77;
188;(splendidissima/aurantiosplendens);78;
189;aurantiaca;79;
190;agathosmus;80;
191;aureus;80;
192;chrysodon;80;
193;dichrous;80;
194;hypothejus;80;
195;latitabundus;80;
196;lucorum;80;
197;marzuolus;80;
198;nemoreus;80;
199;penarius;80;
200;persicolor;80;
201;poetarum;80;
202;russula;80;
203;fasciculare;81;
204;sublateritium;81;
205;rosellus;82;
206;fragiforme;83;
207;asterospora;84;
208;erubescens;84;
209;dryadeus;85;
210;hispidus;85;
211;obliquus;85;
212;mutabilis;86;
213;amethystina;87;
214;laccata;87;
215;chrysorrheus;88;
216;deliciosus;88;
217;deterrimus;88;
218;flavidus;88;
219;glyciosmus;88;
220;necator;88;
221;piperatus;88;
222;quietus;88;
223;salmonicolor;88;
224;sanguifluus;88;
225;scrobiculatus;88;
226;torminosus;88;
227;uvidus;88;
228;volemus;88;
229;sulphureus;89;
230;gigantea;90;
231;ovina;91;
232;spermoides;91;
233;aurantiacum;92;
234;carpini;92;
235;crocipodium;92;
236;duriusculum;92;
237;quercinum;92;
238;scabrum;92;
239;cochleatus;93;
240;flabelliformis;93;
241;edodes;94;
242;conchatus;95;
243;tigrinus;95;
244;fragilis;96;
245;lubrica;97;
246;aspera;98;
247;clypeolaria;98;
248;glaucocana;99;
249;nuda;99;
250;sordida;99;
251;squamosus;100;
252;leucothites;101;
253;birnabumii;102;
254;bulbiger;103;
255;mollusca;104;
256;macrocephalus;105;
257;arundinaceum;106;
258;echinatum;107;
259;perlatum;107;
260;fumosum;108;
261;loricatum;108;
262;cucumis;109;
263;excoriata;110;
264;procera;110;
265;rhacodes;110;
266;filiformis;111;
267;omphaliformis;112;
268;alliaceus;113;
269;buillardii;113;
270;cohaerens;113;
271;oreades;113;
272;rotula;113;
273;scorodonius;113;
274;platyphylla;114;
275;grammopodia;115;
276;melaleuca;115;
277;giganteus;116;
278;tremellosus;117;
279;semilibera;118;
280;conica;119;
281;esculenta;119;
282;caninus;120;
283;inclinata;121;
284;crocata;121;
285;galericulata;121;
286;olivaceomarginata;121;
287;renati;121;
288;rorida;121;
289;tintinnabulum;121;
290;pouchetii;122;
291;olearius;123;
292;onotica;124;
